Lemma,CEFR,POS,Frq abs,Frq ipm
петербург,A1,n,7623,48.13
спортивный,A1,adj,7604,48.01
больно,A1,adv,7521,47.48
твердый,A1,adj,7482,47.23
пятнадцать,A1,num,7450,47.03
марка,A1,n,7369,46.52
метро,A1,n,7335,46.31
очки,A1,n,7312,46.16
полицейский,A1,adj,7269,45.89
длина,A1,n,7255,45.80
дружба,A1,n,7241,45.71
ужин,A1,n,7234,45.67
перемена,A1,n,7203,45.47
мобильный,A1,adj,7118,44.94
непонятный,A1,adj,7105,44.85
диван,A1,n,7097,44.80
пассажир,A1,n,7066,44.61
закрывать,A1,v,7059,44.56
италия,A1,n prop,7011,44.26
приглашать,A1,v,6879,43.43
яйцо,A1,n,6807,42.97
британский,A1,adj,6788,42.85
туалет,A1,n,6701,42.30
остановка,A1,n,6681,42.18
дорого,A1,adv,6674,42.13
близко,A1,adv,6646,41.96
диалог,A1,n,6627,41.84
карточка,A1,n,6502,41.05
француз,A1,n,6479,40.90
англичанин,A1,n,6380,40.28
дешевый,A1,adj,6362,40.16
полчаса,A1,n,6348,40.08
полка,A1,n,6343,40.04
паспорт,A1,n,6339,40.02
лекарство,A1,n,6304,39.80
объявление,A1,n,6297,39.75
отдыхать,A1,v,6279,39.64
украинский,A1,adj,6171,38.96
тест,A1,n,6160,38.89
двенадцать,A1,num,6129,38.69
холод,A1,n,6066,38.30
шкаф,A1,n,5960,37.63
четверг,A1,n prop,5924,37.40
вторник,A1,n prop,5841,36.88
литр,A1,n,5827,36.79
учебник,A1,n,5824,36.77
розовый,A1,adj,5764,36.39
танцевать,A1,v,5715,36.08
произносить,A1,v,5713,36.07
рубашка,A1,n,5661,35.74
итальянский,A1,adj,5660,35.73
завтрак,A1,n,5659,35.73
турист,A1,n,5651,35.68
иностранец,A1,n,5612,35.43
музыкант,A1,n,5598,35.34
яблоко,A1,n,5571,35.17
сапог,A1,n,5518,34.84
азия,A1,n prop,5512,34.80
аэропорт,A1,n,5507,34.77
польский,A1,adj,5477,34.58
подпись,A1,n,5465,34.50
напиток,A1,n,5442,34.36
неправильный,A1,adj,5327,33.63
краткий,A1,adj,5325,33.62
по телефону,A1,mwe,5307,33.50
пожар,A1,n,5289,33.39
головной,A1,adj,5284,33.36
пожилой,A1,adj,5215,32.92
дедушка,A1,n,5202,32.84
сахар,A1,n,5185,32.73
мебель,A1,n,5181,32.71
чашка,A1,n,5165,32.61
артист,A1,n,5157,32.56
сладкий,A1,adj,5107,32.24
фото,A1,n,5091,32.14
молодец,A1,excl,5041,31.82
тарелка,A1,n,5002,31.58
сок,A1,n,4946,31.22
громкий,A1,adj,4940,31.19
класть,A1,v,4928,31.11
электрический,A1,adj,4927,31.10
словарь,A1,n,4915,31.03
блюдо,A1,n,4895,30.90
посол,A1,n,4893,30.89
мука,A1,n,4852,30.63
лампа,A1,n,4818,30.42
ошибаться,A1,v,4807,30.35
африка,A1,n prop,4763,30.07
красиво,A1,adv,4743,29.94
белорусский,A1,adj,4730,29.86
голодный,A1,adj,4718,29.79
одеяло,A1,n,4712,29.75
подушка,A1,n,4682,29.56
нормально,A1,adv,4612,29.12
внук,A1,n,4602,29.05
книжный,A1,adj,4559,28.78
плавать,A1,v,4527,28.58
перерыв,A1,n,4459,28.15
верх,A1,n,4457,28.14
поздравлять,A1,v,4442,28.04
бассейн,A1,n,4435,28.00
милиционер,A1,n,4424,27.93
дешево,A1,adv,4415,27.87
куртка,A1,n,4414,27.87
евро,A1,n,4388,27.70
двести,A1,num,4380,27.65
ботинок,A1,n,4379,27.65
холодильник,A1,n,4351,27.47
копейка,A1,n,4341,27.41
чемодан,A1,n,4318,27.26
виза,A1,n,4291,27.09
плита,A1,n,4269,26.95
проход,A1,n,4265,26.93
столовая,A1,n,4254,26.86
переводчик,A1,n,4229,26.70
грамм,A1,n,4150,26.20
печь,A1,n,4149,26.19
такси,A1,n,4142,26.15
соль,A1,n,4137,26.12
брюки,A1,n,4130,26.07
китаец,A1,n,4113,25.97
засыпать,A1,v,4111,25.95
видео,A1,n,4096,25.86
футбол,A1,n,4093,25.84
посторонний,A1,adj,4070,25.69
курица,A1,n,4066,25.67
ложка,A1,n,4040,25.51
молодой человек,A1,mwe,3996,25.23
полгода,A1,n,3996,25.23
мыть,A1,v,3981,25.13
шапка,A1,n,3931,24.82
посуда,A1,n,3787,23.91
ванная,A1,n,3771,23.81
проспект,A1,n,3768,23.79
темно,A1,adv,3761,23.74
японец,A1,n,3718,23.47
ломать,A1,v,3662,23.12
пальто,A1,n,3655,23.07
арабский,A1,adj,3646,23.02
велосипед,A1,n,3617,22.83
картошка,A1,n,3610,22.79
вкусный,A1,adj,3601,22.73
шестьдесят,A1,num,3600,22.73
штраф,A1,n,3575,22.57
испанский,A1,adj,3570,22.54
прошедший,A1,adj,3550,22.41
обувь,A1,n,3546,22.39
сыр,A1,n,3510,22.16
национальность,A1,n,3500,22.10
фрукт,A1,n,3494,22.06
открыто,A1,adv,3489,22.03
дарить,A1,v,3485,22.00
юбка,A1,n,3454,21.81
на помощь,A1,mwe,3431,21.66
ванна,A1,n,3402,21.48
лук,A1,n,3398,21.45
белоруссия,A1,n prop,3384,21.36
кружка,A1,n,3381,21.34
сдача,A1,n,3351,21.16
кончаться,A1,v,3326,21.00
пиджак,A1,n,3322,20.97
сотовый,A1,adj,3302,20.85
чемпион,A1,n,3288,20.76
носок,A1,n,3284,20.73
мяч,A1,n,3282,20.72
конверт,A1,n,3261,20.59
карандаш,A1,n,3248,20.51
индекс,A1,n,3231,20.40
кинотеатр,A1,n,3205,20.23
учительница,A1,n,3202,20.21
себе,A1,pron,3201,20.21
коньяк,A1,n,3198,20.19
касса,A1,n,3176,20.05
поесть,A1,v,3168,20.00
спортсмен,A1,n,3166,19.99
медленный,A1,adj,3151,19.89
оранжевый,A1,adj,3119,19.69
одиннадцать,A1,num,3104,19.60
госпожа,A1,n,3094,19.53
мыло,A1,n,3091,19.51
финский,A1,adj,3085,19.48
триста,A1,num,3075,19.41
суп,A1,n,3074,19.41
общежитие,A1,n,3067,19.36
соседка,A1,n,3061,19.32
мышка,A1,n,3042,19.20
овощ,A1,n,3023,19.08
пожарный,A1,adj,3020,19.07
переулок,A1,n,3015,19.03
одеваться,A1,v,3014,19.03
трамвай,A1,n,2981,18.82
мед,A1,n,2971,18.76
женатый,A1,adj,2959,18.68
заполнять,A1,v,2938,18.55
актриса,A1,n,2922,18.45
грек,A1,n,2920,18.43
коричневый,A1,adj,2910,18.37
тротуар,A1,N,2880,18.18
поляк,A1,n,2841,17.94
вежливо,A1,adv,2834,17.89
чайник,A1,N,2827,17.85
